date,startup,vertical,subvertical,city,investors,round,amount
2018-03-11,veritas finance ltd.,NBFC,MSME Finance,Chennai,"norwest venture partners, cdc group, the uk's development finance institution and p surendra pai",Series D,255.7508
2018-06-11,meesho,Ecommerce,Social Commerce,Bengaluru,"shunwei capital, dst partners and rps ventures",Series C,460.0
2018-08-11,mobile premier league,Gaming,Mobile e-Sports,Bengaluru,undisclosed,Series A,4.6
2018-08-11,a&r bon vivants,Food,Meat Retail Chain,Jaipur,"rb investments, singapore",Equity,9.2
2018-12-11,blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",tiger global,Series A,9.2
2018-12-11,milkbasket,Food,Micro-delivery grocery service,New Delhi,mayfield fund,Series B,11.96
2018-11-13,driveu,Transport,On-Demand Drivers,Bengaluru,stevens creek ventures,Mezzanine,9.2
2018-11-14,cleansecar,Services,Car Wash,Bengaluru,venture catalysts,Seed/ Angel Funding,4.6
2018-11-19,automation anywhere,Automation,Robotics,California,softbank vision fund,Series B,2760.0
2018-11-20,healthifyme,Health and Wellness,Wellness Coach,Bengaluru,"sistema asia fund, vc samsung next, chiratae ventures, inventus capital, blume ventures and innoven capital.",Series B (Extension),55.2
2018-11-21,genius corner,Education,Personalized Learning,Noida,individual investors,Seed Funding,2.5576
2018-11-22,aavishkaar-intellecap group,Investment,SME Funding,Mumbai,teachers insurance and annuity association (tiaa),Equity Based Funding,285.2
2018-11-22,skillbox,Social Network,Art,Gurugram,individual investors,Seed Funding,0.0
2018-11-23,signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"stellaris venture partners and kalaari capital, rajan anandan from google, dilip khandwelwal from sap labs india, and amrish rau from payu india",Series A,31.28
2018-11-24,engineer.ai,Software,AI Platform,India/US,"lakestar and jungle ventures, softbank's deepcore.",Series A,271.4
2018-11-25,incred finance,Finance,SME Lending,India,"paragon partners, individual investors",Private Equity,386.4
2018-11-25,roposo,Social Media,Video Sharing,New Delhi,bertelsmann india investments,Series B,15.64
2018-01-10,northmist,Fashion,Mens Wear,New Delhi,prashant jaiswal,Seed/ Angel Funding,0.0
2018-02-10,origo commodities india pvt. ltd,Logistics,Supply Chain,Hyderabad,"cooperative oikocredit, caspian and hivos-triodos fund",Seed/ Angel Funding,101.2
2018-04-10,grover zampa,Food,Wine,Mumbai,ravi viswanathan,Private Equity,75.44
2018-05-10,droom,Automobile,New and Used Cars Platform,Gurugram,zigexn,Series E,27.6
2018-11-10,innov8,Real Estate,Co-Working,New Delhi,credence family office,Pre-Series A,36.8
2018-12-10,blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,sequoia capital india,Private Funding,135.056
2018-12-10,letstransport,Logistics Tech,Book Trucks Online,Bengaluru,fosun international,Series C,110.4
2018-01-09,netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"sistema asia fund, sistema jsfc and tanncam investment",Private Equity,322.0
2018-03-09,udaan,B2B Platform,Logistics and Shipping,Bengaluru,dst global and lightspeed venture partners' global fund.,Private Equity,2070.0
2018-03-09,daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,falcon edge,Private Equity,58.788
2018-04-09,3hcare,Healthcare,Healthcare Service Provider,New Delhi,undisclosed,Seed / Angel Funding,9.2
2018-04-09,happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"korea investment partners (kip), samsung and china-based citic capital and others",Private Equity,0.0
2018-05-09,nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,lighthouse,Private Equity,1446.24
2018-05-09,mad street den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,kddi,Private Equity,0.0
2018-06-09,dream11,Consumer Internet,Online Gaming Platform,Mumbai,"tencent, kalaari capital and private equity firm multiples alternate asset management",Private Equity,920.0
2018-10-09,mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,stellaris ventures & others,Private Equity,36.8
2018-11-09,autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"clp holdings group, innogy, \\xc3\\x98rstead, and tenaska",Private Equity,294.4
2018-11-09,pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,innoven capital,Debt Funding,50.6
2018-11-09,upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"shunwei capital,quotient, mayfield & others",Private Equity,46.0
2018-12-09,kissht,Fin-Tech,Online lending Platform,Mumbai,"vertex ventures southeast asia (sea) and india and sistema asia fund, fosun rz capital, ventureast, and endiya partners.\\n\\n",Private Equity,276.0
2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"farm to fork, arts alliance, the syndicate fund, sven hensen, zeroth and artesian venture partners",Seed/ Angel Funding,3.68
2018-01-08,healthfin,Finance,Patient Financing Platform,Pune,"axilor, sprout venture partners and others",Seed/ Angel Funding,0.0
2018-02-08,samosa labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,xiaomi and sequoia capital india,Private Equity,64.4
2018-03-08,ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,y combinator,Private Equity,1.104
2018-07-08,my omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,undisclosed,Seed/ Angel Funding,9.2
2018-07-08,shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,fung strategic holdings,Private Equity,322.0
2018-07-08,makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,makemytrip limited,Private Equity,92.0
2018-08-08,hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,vertex ventures,Seed/ Angel Funding,36.8
2018-08-08,metro bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"sequoia capital india advisors, accel partners and g raghunandan",Private Equity,112.24
2018-08-08,phone pe,Consumer Internet,UPI Payments App,Bengaluru,flipkart,Private Equity,607.2
2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"nexus venture partners, prime venture partners and others",Seed/ Angel Funding,27.6
2018-09-08,happy emi,Fin-Tech,Consumer Financing Platform,Bengaluru,aj ventures and jain international trade organisation (jito),Seed/ Angel Funding,9.2
2018-08-13,inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"ventureast, orios venture partners and the ian fund",Seed/ Angel Funding,36.8
2018-08-13,observe ai,Technology,AI Based Solutions Platform,Bengaluru,"nexus venture partners, mgv, liquid 2 ventures, hack vc, emergent ventures and y combinator",Private Equity,73.6
2018-08-16,enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,undisclosed,Seed/ Angel Funding,1.0562612
2018-08-17,eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,denlow investment trust and beenext,Private Equity,53.82
2018-08-20,finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,undisclosed,Seed / Angel Funding,9.2
2018-08-20,rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,alteria capital,Debt Funding,44.16
2018-08-22,pi ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,cdc group plc,Private Equity,55.2
2018-08-22,revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"hyundai, edelweiss and beenext, dream incubator, sunjay kapoor and telama investment",Private Equity,131.284
2018-08-26,zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,"xiaomi,payu, ribbit capital and omidyar network",Private Equity,123.28
2018-08-26,shubh loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"saama capital, sri capital, beenext, and pravega ventures",Private Equity,38.64
2018-08-27,myupchar,Healthcare,Local Language Health Content App,New Delhi,"nexus venture partners, omidyar network and shunwei capital",Private Equity,46.0
2018-08-28,narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,accel (formerly known as accel partners),Private Equity,27.6
2018-08-30,true north,Finance,Private Equity Firm,Mumbai,undisclosed,Private Equity,5520.0
2018-01-07,leena ai,Technology,HR Virtual Agent For Employees,Gurugram,y combinator,Seed/ Angel Funding,0.0
2018-02-07,biryani by kilo,Consumer Internet,Online Food Delivery,Gurugram,ajay relan and vinay mittal,Seed/ Angel Funding,9.2
2018-04-07,anchanto,IT,E-commerce Fulfilment Platform,Pune,mdi ventures & telkom indonesia,Private Equity,36.8
2018-05-07,loan tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"shunwei capital, tuscan ventures, ashish goenka, vc firms india quotient and kae capital",Private Equity,57.5
2018-06-07,policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,info edge (india) ltd and temasek,Private Equity,254.84
2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,info edge (india) ltd,Seed/ Angel Funding,4.048
2018-09-07,groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"insignia ventures partners, lightbridge partners & kairos",Seed/ Angel Funding,10.12
2018-10-07,avenue growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"avtar monga, chief operating office at idfc bank, aditya malik & others",Seed/ Angel Funding,4.0204
2018-10-07,inicu,Healthcare,Med-tech Platform Providing Care For Newborns,New Delhi,venture catalysts,Seed/ Angel Funding,0.0
2018-10-07,kinara capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,responsability,Private Equity,46.0
2018-10-07,shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"stellaris venture partners, vy capital, raghunandan g, and ramakant sharma",Private Equity,46.0
2018-11-07,sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,base of pyramid asia (bopa) pte ltd,Private Equity,23.0
2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"rishi vasudev, excelsior investments, ritesh vohra, praveer kumar, prashant gupta and others",Seed/ Angel Funding,1.656
2018-12-07,5th vital,Healthcare,Home diagnostics services provider,Bengaluru,brand capital and others,Seed/ Angel Funding,4.6
2018-07-13,mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"siddharth agarwal, mahavir sharma, amit singal, 100 co-founders lab and others.",Seed/ Angel Funding,1.61
2018-07-17,ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"creation investments, falcon edge, matrix partners india and zodius capital",Private Equity,266.8
2018-07-17,cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"kingsway fci fund, kck global & others",Private Equity,457.24
2018-07-18,the ken,Consumer Internet,Subscription-Only News Website,Bengaluru,omidyar network & others,Seed/ Angel Funding,13.8
2018-07-19,book my show,Consumer Internet,Online Ticketing Platform,Mumbai,"tpg growth, the rise fund & others",Private Equity,920.0
2018-07-20,housingman,Consumer Internet,Property Discovery Platform,Bengaluru,undisclosed,Seed/ Angel Funding,13.8
2018-07-21,paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,payu & others,Private Equity,165.6
2018-07-23,yulu bikes,Technology,Bicycle-Sharing Platform,Bengaluru,undisclosed,Seed/ Angel Funding,0.0
2018-07-23,vtion,Technology,Media Analytics,Gurugram,"angellist, rahul khanna, rajeev arora and ram ramsundar.",Seed/ Angel Funding,2.576
2018-07-23,log9 materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"metaform ventures, hemant luthra, micro venture capital firm gems partners and others",Seed/ Angel Funding,4.0112
2018-07-24,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,gray matters,Seed/ Angel Funding,1.656
2018-07-24,digit,Consumer Internet,Online Insurance Startup,Pune,fairfax,Private Equity,414.0
2018-07-25,black soil,Finance,Non-Banking Financial Company,Mumbai,"allcargo logistics, navneet education and mahavir agency",Private Equity,156.4
2018-07-25,trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"beenext , weh ventures and sprout ventures",Seed/ Angel Funding,11.5
2018-07-25,iqlect,Technology,Data Analytics Firm,Bengaluru,ventureast and exfinity,Seed/ Angel Funding,23.0
2018-07-26,entropik,IT,Software-As-A-Service Platform,Bengaluru,"bharat innovation, idfc-parampara capital, arthavida ventures, jitendra gupta & others",Seed/ Angel Funding,10.12
